out_stem,orig_split,had_label,orig_w,orig_h,resized
000e25ef-12f2-4830-8891-cb445103f7ee,train,1,1920,1080,1
002d4287-4196-4e0a-b8f0-d648fdd2f5eb,train,1,1920,1080,1
013defe1-dc1e-41bc-8e01-3fcc642ee8b7,train,1,1920,1080,1
01af75df-d5c6-400f-9748-ea9ee1845337,train,1,1920,1080,1
021b7512-65ab-4d64-9884-81366024c443,train,1,1920,1080,1
023e9a56-5b9f-48ef-b5c9-b864129ae126,train,1,1920,1080,1
025ef9e6-0dca-4139-b92b-2c9d4694f6b5,train,1,1920,1080,1
02d6fc61-4407-4977-8809-e97b4cd295b7,train,1,1920,1080,1
031a965b-8f3b-44e3-822f-175b9673691b,train,1,1920,1080,1
033770bd-42a2-41d7-abac-3895a350451d,train,1,1920,1080,1
035c74b6-b976-4a40-8d03-354c84822f8f,train,1,1920,1080,1
0393d069-87e7-4acf-be08-6572ee19eb08,train,1,1920,1080,1
03c5b69d-5820-4a5d-983c-99d0223307d4,train,1,1920,1080,1
042efc85-091b-4177-bd58-ea06dd58f5c1,train,1,1920,1080,1
04500263-021e-4013-8b5e-fb07de745ccd,train,1,1920,1080,1
04547c4e-2294-4ba8-af1a-d4cb31cedc86,train,1,1920,1080,1
04955569-4d3e-4a76-82f9-935432b59b11,train,1,1920,1080,1
04c4c46e-2e33-4519-ab3c-c2283803b00e,train,1,1920,1080,1
04f048c3-c85f-4633-8b25-dffbe93f7a7d,train,1,1920,1080,1
05746726-dc1c-4469-beab-519367ef1c9f,valid,1,1920,1080,1
059d7c02-315b-4630-82e5-244604749152,train,1,1920,1080,1
062a79a0-9a78-4be1-9973-e2b138f93c55,train,1,1920,1080,1
069e2955-ee61-44a8-a802-c5bc62a848ad,train,1,1920,1080,1
06fdde4d-3a55-4227-8351-b0c205a63de8,train,1,1920,1080,1
070f715c-e828-4a02-9d4b-cd75c90ecc8e,train,1,1920,1080,1
0744d2e9-3096-41eb-8ab1-6b87a046626d,train,1,1920,1080,1
07454a62-f05f-4b11-ad09-d07253a92143,train,1,1920,1080,1
07aa39b2-afda-45fa-8f3f-79823c75da62,train,1,1920,1080,1
094926b8-23df-4ca0-894d-56295e5044e3,train,1,1920,1080,1
09861602-8ba7-46b6-9c17-0e2713bfc7fd,train,1,1920,1080,1
09a9f485-1028-4dd3-a42c-45138e647451,train,1,1920,1080,1
09e82918-713f-4677-91c0-e0a60c5a5a1d,train,1,1920,1080,1
0a31c404-a242-48a2-8352-841826525c89,train,1,1920,1080,1
0a666f7b-b866-4859-bc8b-aeda776854fa,train,1,1920,1080,1
0a76a47c-a4df-4bc9-a059-c5250af180ab,train,1,1920,1080,1
0a862420-91b9-4e4e-9847-f2a07f003d0e,train,1,1920,1080,1
0b6cc9f0-cfd7-4d3b-9fc7-92500e1b3fc2,train,1,1920,1080,1
0b798603-3665-476b-9ffb-086d0fa71f6b,train,1,1920,1080,1
0b7ed8ce-f4c3-4e4d-94b7-57941ed09f6c,train,1,1920,1080,1
0be41af4-9692-417d-8037-e627bb5aa559,train,1,1920,1080,1
0cf8fedf-afee-4d3e-ab39-9a7730712c3f,train,1,1920,1080,1
0d11742d-705a-47c1-b4f1-50dae17178f9,train,1,1920,1080,1
0dfa8686-e086-49af-aa3e-b3eab46e0b4d,train,1,1920,1080,1
0e41aa25-5695-4883-b7e6-080b761c7784,train,1,1920,1080,1
0e511454-912e-42fe-a70d-be8f4f553b3a,train,1,1920,1080,1
0e74e7a3-784e-41bf-ad27-72a94208e7d1,train,1,1920,1080,1
0e9c7df9-28bc-40e4-a7e3-64b3f3390bc6,train,1,1920,1080,1
0f2e2f06-9e5e-4aa9-81e7-65e73e529274,train,1,1920,1080,1
0fa240a6-1eec-4c1d-87fe-24b98efe924b,train,1,1920,1080,1
0fb6dff7-c835-4faa-8db0-faf710f2df62,train,1,1920,1080,1
10094ad4-acdf-4371-a469-869741abeab9,train,1,1920,1080,1
10248a4a-5ae2-4f48-837d-183a36982e50,train,1,1920,1080,1
102d21e0-9453-4c80-8990-85d95c3d988e,train,1,1920,1080,1
107ccd1f-2615-4f6c-8b54-493157f896ed,train,1,1920,1080,1
10cd5779-76e9-4e93-b6ca-b6de926ba52c,train,1,1920,1080,1
113039b6-0f72-4e3b-8228-de3cfc6a2f34,train,1,1920,1080,1
11c0194c-f920-4412-a867-23ab96fd4027,train,1,1920,1080,1
132abd50-e29d-4579-b887-5f6d61df2c5e,train,1,1920,1080,1
13914cd4-1bec-4c3d-9941-412aa75490d8,train,1,1920,1080,1
14422fb9-308e-492f-9527-20812aad2d01,train,1,1920,1080,1
1466558e-72db-4125-a199-3304b7c159c9,train,1,1920,1080,1
14859c49-6e79-4c94-a0c9-8cfd7bf82a77,train,1,1920,1080,1
14945b14-ee32-4cdd-9056-196218eafafc,train,1,1920,1080,1
14a3c055-c443-4265-9d8c-f200916a15d0,train,1,1920,1080,1
14a45cb0-fd4f-4156-8592-154358023bea,train,1,1920,1080,1
14acc041-fe2b-4650-8dde-4e7ad0826aab,train,1,1920,1080,1
1524d099-7757-4a94-98f6-828bcd1fc3a3,train,1,1920,1080,1
15a83e10-7e39-4639-8bce-937a4faf11aa,train,1,1920,1080,1
1600df60-9f8d-45fb-ad85-acedd9afe32c,train,1,1920,1080,1
16384c02-6443-41d7-8fc9-e04bc57cf9ad,train,1,1920,1080,1
